2,"[1, 1]"
3,"[1, 2, 2, 1]"
4,"[1, 3, 5, 7, 8]"
5,"[1, 4, 10, 19, 34, 42, 10]"
6,"[1, 5, 16, 41, 95, 176, 240, 143, 3]"
7,"[1, 6, 24, 75, 214, 526, 1019, 1555, 1381, 239]"
8,"[1, 7, 33, 124, 419, 1249, 3178, 6656, 11064, 12358, 5032, 199]"
9,"[1, 8, 44, 191, 749, 2629, 8044, 21459, 47608, 85442, 111757, 74584, 10334, 30]"
10,"[1, 9, 56, 278, 1239, 4980, 17918, 56978, 157437, 369556, 710704, 1048712, 953362, 297418, 10151, 1]"
11,"[1, 10, 70, 389, 1947, 8823, 36177, 133883, 438220, 1256865, 3092891, 6342717, 10315246, 11519732, 6075449, 692189, 2191]"
12,"[1, 11, 85, 525, 2912, 14672, 67687, 284170, 1075354, 3632004, 10782633, 27726066, 60309242, 106454907, 138302366, 103662854, 25967220, 718879, 12]"
